Title,Issue Number,Issue Name,Publisher,Cover Date Month,Cover Date Year,Writer(s),Penciller(s),Inker(s)
"Green Arrow (2011)","#34","Broken, Conclusion: Fixed","DC Comics"," October","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow: Futures End (2014)","#1","","DC Comics"," November","2014","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Green Arrow: Rebirth (2016)","#1","Rebirth","DC Comics"," August","2016","Benjamin Percy","Otto Schmidt","Otto Schmidt"
"Guardians Of Knowhere (2015)","#1","","Marvel"," September","2015","Brian Michael Bendis","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Halloween Eve (2012)","One-Shot","","Image Comics"," October","2012","Brandon Montclare","Amy Reeder Hadley","Amy Reeder Hadley"
"Hank Johnson, Agent of Hydra (2015)","#1","Who is Hank Johnson?","Marvel"," October","2015","David Mandel","Michael Walsh","Michael Walsh"
"Happy! (2012)","#1","","Image Comics"," September","2012","Grant Morrison","Darick Robertson","Darick Robertson"
"Harvest (2012)","#1","","Image Comics"," August","2012","A J Lieberman","Colin Lorimer","Colin Lorimer"
"Hawkeye (2012)","#1","Lucky","Marvel"," October","2012","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#2","The Vagabond Code","Marvel"," November","2012","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#3","Cherry","Marvel"," December","2012","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#4","The Tape 1 Of 2","Marvel"," January","2013","Matt Fraction","Javier Pulido - 'Francisco Javier Pulido Rodriguez'","Javier Pulido - 'Francisco Javier Pulido Rodriguez'"
"Hawkeye (2012)","#5","The Tape 2 Of 2","Marvel"," February","2013","Matt Fraction","Javier Pulido - 'Francisco Javier Pulido Rodriguez'","Javier Pulido - 'Francisco Javier Pulido Rodriguez'"
"Hawkeye (2012)","#6","Six Days in the Life of","Marvel"," February","2013","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#7","","Marvel"," March","2013","Matt Fraction","Steve Lieber, Jesse Hamm","Steve Lieber, Jesse Hamm"
"Hawkeye (2012)","#8","My Bad Penny","Marvel"," April","2013","Matt Fraction","Annie Wu, David Aja","Annie Wu, David Aja"
"Hawkeye (2012)","#9","Girls","Marvel"," June","2013","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#10","","Marvel"," July","2013","Matt Fraction","Francesco Francavilla","Francesco Francavilla"
"Hawkeye (2012)","#11","Pizza Is My Business","Marvel"," August","2013","Matt Fraction","David Aja","David Aja"
"Hawkeye (2012)","#12","","Marvel"," September","2013","Matt Fraction","Francesco Francavilla","Francesco Francavilla"
"Hip Hop Family Tree Three-in-One: Featuring Cosplayers (2015)","nn","","Fantagraphics Books"," May","2015","Dash Shaw, Ed Piskor","Jenny Goldstick, Dash Shaw, Skottie Young, Jim Rugg, Benjamin Marra, Robert 'R.' Crumb",""
"Howard the Duck (2015)","#1","","Marvel"," May","2015","Chip Zdarsky","Joe Quinones","Joe Quinones"
"Howard the Duck (2016)","#1","","Marvel"," January","2016","Chip Zdarsky, Christopher Hastings","Joe Quinones, Danilo S. Beyruth","Joe Rivera, Danilo S. Beyruth"
"Howard the Duck (2015)","#2","","Marvel"," June","2015","Chip Zdarsky, Chip Zdarsky","Joe Quinones, Rob Guillory","Joe Rivera, Rob Guillory"
"Howard the Duck (2016)","#2","","Marvel"," February","2016","Chip Zdarsky, Christopher Hastings","Veronica Fish, Danilo S. Beyruth","Veronica Fish, Danilo S. Beyruth"
"Howard the Duck (2015)","#3","","Marvel"," July","2015","Chip Zdarsky","Joe Quinones, Jason Latour - 'D. Jason Latour'","Joe Rivera, Joe Quinones, Jason Latour - 'D. Jason Latour'"
"Howard the Duck (2016)","#3","","Marvel"," March","2016","Chip Zdarsky, Christopher Hastings","Joe Quinones, Danilo S. Beyruth","Joe Rivera, Danilo S. Beyruth"
"Howard the Duck (2015)","#4","","Marvel"," August","2015","Chip Zdarsky","Joe Quinones, Katie Cook","Joe Rivera, Joe Quinones, Katie Cook"
"Howard the Duck (2015)","#5","Super Hero Battle for the Fate of New York and Possibly the World","Marvel"," October","2015","Chip Zdarsky","Joe Quinones","Paolo Manuel Rivera, Joe Rivera"
"Howard the Human (2015)","#1","","Marvel"," October","2015","Skottie Young","Jim Mahfood - 'Food One'","Jim Mahfood - 'Food One'"
"Huck (2015)","#1","","Image Comics"," November","2015","Mark Millar","Rafael Albuquerque","Rafael Albuquerque"
"I Hate Fairyland (2015)","#1","","Image Comics"," October","2015","Skottie Young, Skottie Young","Skottie Young, Brandon Graham, Brett Bean, Erin Hunting","Skottie Young, Brandon Graham, Brett Bean, Erin Hunting"
"Image+ (2016)","#1","","Image Comics"," April","2016","Brandon Graham, Chynna Clugston-Flores, Caitlin Kittredge, Scott Snyder, Robert Kirkman","Brandon Graham, Chynna Clugston-Flores, Steven 'Steve' Sanders, Jeff Lemire, Charlie Adlard","Brandon Graham, Chynna Clugston-Flores, Steven 'Steve' Sanders, Jeff Lemire, Charlie Adlard"
"Indestructible Hulk (2013)","#1","Agent of S.H.I.E.L.D.","Marvel"," January","2013","Mark Waid","Leinil Francis Yu","Gerry Alanguilan - 'Smile Man'"
"Infinity (2013)","#1","","Marvel"," October","2013","Jonathan Hickman","Jim Cheung","Mark Morales, John Livesay, David Meikis, Jim Cheung"
"Infinity (2013)","#2","Fall","Marvel"," November","2013","Jonathan Hickman","Jerome Opeña, Dustin Weaver","Jerome Opeña, Dustin Weaver"
"Infinity (2013)","#3","Kingdoms Fall","Marvel"," November","2013","Jonathan Hickman","Dustin Weaver, Jerome Opeña","Dustin Weaver, Jerome Opeña"
"Infinity Gauntlet (2015)","#1","","Marvel"," July","2015","Dustin Weaver, Gerry Duggan","Dustin Weaver","Dustin Weaver"
"Inhumanity: Superior Spider-Man (2014)","#1","","Marvel"," March","2014","Christos N. Gage","Stephanie Hans","Stephanie Hans"
"Inhumans: Attilan Rising (2015)","#1","Part One: The Voice Unheard","Marvel"," July","2015","Charles D. Soule","John Timms","Roberto Poggi"
"Invincible Iron Man (2015)","#1","","Marvel"," December","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Invincible Iron Man (2015)","#2","","Marvel"," December","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Iron Fist: The Living Weapon (2014)","#1","Rage: Part One","Marvel"," June","2014","Kaare Kyle Andrews","Kaare Kyle Andrews","Kaare Kyle Andrews"
"Island (2015)","#1","","Image Comics"," July","2015","Emma Ríos, Kelly Sue DeConnick, Brandon Graham, Ludroe, Brandon Graham","Marian Churchland, Emma Ríos, Emma Ríos, Brandon Graham, Ludroe, Brandon Graham","Marian Churchland, Emma Ríos, Emma Ríos, Brandon Graham, Ludroe, Brandon Graham"
"Island (2015)","#2","","Image Comics"," August","2015","Will Kirkby - 'Chamonkee', Brandon Graham, Ludroe, Simon  Roy, Emma Ríos","Will Kirkby - 'Chamonkee', Brandon Graham, Ludroe, Simon  Roy, Emma Ríos","Will Kirkby - 'Chamonkee', Brandon Graham, Ludroe, Simon  Roy, Emma Ríos"
"Island (2015)","#3","","Image Comics"," September","2015","Jose Antonio Domingo - 'Jad', Malachi Ward, Matt Sheean, Dilraj Mann, Amy Clare, Tessa Black, Kate Craig, Katie Lane","Jose Antonio Domingo - 'Jad', Matt Sheean, Malachi Ward, Dilraj Mann, Amy Clare, Tessa Black, Kate Craig","Jose Antonio Domingo - 'Jad', Malachi Ward, Dilraj Mann, Amy Clare, Tessa Black, Kate Craig, Matt Sheean"
"Island (2015)","#4","","Image Comics"," October","2015","Roque Romero, Farel Dalrymple, Robin McConnell, Farel Dalrymple, Brandon Graham, Gael Bertrand","Roque Romero, Farel Dalrymple, Brandon Graham, Gael Bertrand","Roque Romero, Farel Dalrymple, Brandon Graham, Gael Bertrand"
"Island (2015)","#5","","Image Comics"," December","2015","Matt Sheean, Malachi Ward, Simon  Roy, Farel Dalrymple","Matt Sheean, Malachi Ward, Simon  Roy, Farel Dalrymple","Matt Sheean, Malachi Ward, Simon  Roy, Farel Dalrymple"
"Island (2015)","#6","","Image Comics"," January","2016","Felicia Choo, Onta, Gael Bertrand, Sarah Horrocks","Felicia Choo, Onta, Gael Bertrand, Katie Skelly, Sarah Horrocks","Felicia Choo, Onta, Gael Bertrand, Katie Skelly, Sarah Horrocks"
"Island (2015)","#7","","Image Comics"," May","2016","Kim Kirsch, John Christmas, Malachi Ward, Matt Sheean","Kim Kirsch, John Christmas, Malachi Ward, Matt Sheean","Kim Kirsch, John Christmas, Malachi Ward, Matt Sheean"
"Island (2015)","#8","","Image Comics"," June","2016","Xulia Vicente, Michael DeForge, Simon  Roy","Xulia Vicente, Michael DeForge, Ben Sears, Simon  Roy","Xulia Vicente, Michael DeForge, Ben Sears, Simon  Roy"
"iZombie (2010)","#1","Dead to the World","DC Comics"," May","2015","Chris Roberson","Michael Dalton 'Mike' Allred - 'Doc'","Michael Dalton 'Mike' Allred - 'Doc'"
"Journey to Star Wars: The Force Awakens - Shattered Empire (2015)","#1","Shattered Empire Part I","Marvel"," November","2015","Greg Rucka","Marco Checchetto","Marco Checchetto"
"Joyride (2016)","#1","","Boom! Studios | Boom! Entertainment, Inc."," April","2016","Jackson Lanzing, Collin Kelly","Marcus To","Marcus To"
"Judge Dredd (2012)","#1","","IDW Publishing"," November","2012","Duane Swierczynski, Duane Swierczynski","Nelson Dániel, Paul Gulacy","Nelson Dániel, Paul Gulacy"
"Jughead (2015)","#1","","Archie Comics"," November","2015","Chip Zdarsky","Erica Henderson, Samm Schwartz","Erica Henderson"
"Jughead (2015)","#2","","Archie Comics"," January","2016","George Frese, Chip Zdarsky","George Frese, Erica Henderson","George Frese, Erica Henderson"
"Jughead (2015)","#3","","Archie Comics"," February","2016","Chip Zdarsky","Erica Henderson","Erica Henderson"
"Jupiter's Legacy (2013)","#1","","Image Comics"," April","2013","Mark Millar","Frank Quitely - 'Vincent Deighan'","Frank Quitely - 'Vincent Deighan'"
"Jupiter's Legacy (2013)","#2","","Image Comics"," June","2013","Mark Millar","Frank Quitely - 'Vincent Deighan'","Frank Quitely - 'Vincent Deighan'"
"Justice League (2011)","#41","Darkseid War Chapter One: God vs. Man","DC Comics"," August","2015","Geoff Johns","Jason Fabok","Jason Fabok"
"Justice League 3000 (2014)","#1","Yesterday Lives!","DC Comics"," February","2014","Keith Ian Giffen, John Marc 'J.M.' DeMatteis","Howard Porter","Howard Porter"
"Justice League Dark (2011)","#1","In the Dark, Part 1: Imaginary Women","DC Comics"," November","2011","Peter Milligan","Mikel Janin","Mikel Janin"
"Justice League United (2014)","#0","Justice League Canada Part 1 of 5","DC Comics"," June","2014","Jeff Lemire","Mike McKone","Mike McKone"
"Justice League United (2014)","#1","Justice League Canada Part 2 of 5","DC Comics"," July","2014","Jeff Lemire","Mike McKone","Mike McKone"
"Justice League United (2014)","#11","The Island of No Return","DC Comics"," September","2015","Jeff Parker","Travel Foreman","Travel Foreman"
"Justice League United: Futures End (2014)","#1","HomeWorld: Part 1 of 2","DC Comics"," November","2014","Jeff Lemire","Jed Dougherty","Jed Dougherty"
"Kaptara (2015)","#1","Space, Why You Gotta Be Like That?","Image Comics"," April","2015","Chip Zdarsky","Kagan McLeod","Kagan McLeod"
"Kaptara (2015)","#2","The Road Less Traveled By Cat Tanks","Image Comics"," May","2015","Chip Zdarsky","Kagan McLeod","Kagan McLeod"
"Kaptara (2015)","#3","","Image Comics"," June","2015","Chip Zdarsky","Kagan McLeod","Kagan McLeod"
"Kaptara (2015)","#4","","Image Comics"," August","2015","Chip Zdarsky","Kagan McLeod","Kagan McLeod"
"Kaptara (2015)","#5","Goin' To Town.  Destroyin' The Town","Image Comics"," November","2015","Chip Zdarsky","Kagan McLeod","Kagan McLeod"
"Kill or Be Killed (2016)","#1","","Image Comics"," August","2016","Ed Brubaker, Devin Faraci","Sean Phillips","Sean Phillips"
"Kingdom Come (1996)","TPB","","DC Comics"," ","2008","Mark Waid","Alex Ross","Alex Ross"
"Lazarus (2013)","TPB vol. 01","Family","Image Comics"," October","2013","Greg Rucka","Brian Level, Michael Lark, Stefano Gaudiano","Brian Level, Michael Lark, Stefano Gaudiano"
"Lazarus (2013)","#1","Family part one","Image Comics"," June","2013","Greg Rucka","Michael Lark","Michael Lark"
"Lazarus (2013)","#5","Lift Part One","Image Comics"," December","2013","Greg Rucka","Michael Lark","Brian Level, Michael Lark"
"Lazarus (2013)","#6","Lift Part Two","Image Comics"," February","2014","Greg Rucka","Brian Level, Michael Lark","Brian Level, Michael Lark"
"Lazarus (2013)","#7","Lift part three","Image Comics"," March","2014","Greg Rucka","Michael Lark, Brian Level","Michael Lark, Brian Level"
"Lazarus (2013)","#8","Lift part four","Image Comics"," April","2014","Greg Rucka","Brian Level, Michael Lark","Brian Level, Michael Lark"
"Locke & Key (2008)","TPB vol. 01","Welcome to Lovecraft","IDW Publishing"," July","2009","Joe Hill - 'Joseph Hillstrom King'","Gabriel Rodriguez","Gabriel Rodriguez"
"Locke & Key: Omega (2012)","#1","Chapter One - Our Regrets","IDW Publishing"," November","2012","Joe Hill - 'Joseph Hillstrom King'","Gabriel Rodriguez","Gabriel Rodriguez"
"Lumberjanes (2014)","TPB vol. 01","Beware the Kitten Holy","Boom! Studios | Boom! Entertainment, Inc."," ","2015","Grace Ellis, Noelle Stevenson","Brooke A Allen","Brooke A Allen"
"Memetic (2014)","#1","","Boom! Studios | Boom! Entertainment, Inc."," October","2014","James Tynion IV","Eryk Donovan",""
"Memetic (2014)","#2","","Boom! Studios | Boom! Entertainment, Inc."," November","2014","James Tynion IV","Eryk Donovan","Eryk Donovan"
"Memetic (2014)","#3","","Boom! Studios | Boom! Entertainment, Inc."," December","2014","James Tynion IV","Eryk Donovan","Eryk Donovan"
"Mighty Morphin Power Rangers (2016)","#0","","Boom! Studios | Boom! Entertainment, Inc."," January","2016","Kyle Higgins, Steve Orlando, Mairghread Scott","Hendry Prasetya, Corin Howell, Daniel Bayliss","Hendry Prasetya, Corin Howell, Daniel Bayliss"
"Mighty Morphin Power Rangers (2016)","#1","","Boom! Studios | Boom! Entertainment, Inc."," March","2016","Kyle Higgins, Steve Orlando","Hendry Prasetya, Corin Howell",""
"Miles Morales: Ultimate Spider-Man (2014)","#1","","Marvel"," July","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#2","","Marvel"," August","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#3","","Marvel"," September","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#4","","Marvel"," October","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#5","","Marvel"," November","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#6","","Marvel"," December","2014","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#7","","Marvel"," January","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#8","","Marvel"," February","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#9","","Marvel"," March","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#10","","Marvel"," April","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#11","","Marvel"," May","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Miles Morales: Ultimate Spider-Man (2014)","#12","","Marvel"," June","2015","Brian Michael Bendis","David Marquez","David Marquez"
"Mirror (2016)","#1","","Image Comics"," February","2016","Emma Ríos, Hwei Lim - 'Hwei'","Emma Ríos, Hwei Lim - 'Hwei'","Emma Ríos, Hwei Lim - 'Hwei'"
"Moon Knight (2016)","#1","Welcome To New Egypt: Part 1 of 5","Marvel"," September","2016","Jeff Lemire","Greg Smallwood","Greg Smallwood"
"Ms. Marvel (2014)","#1","Meta Morphosis Part One of Five","Marvel"," April","2014","G. Willow Wilson","Adrian Alphona","Adrian Alphona"
"Ms. Marvel (2016)","#1","Super Famous Part 1 of 3","Marvel"," January","2016","G. Willow Wilson","Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;', Adrian Alphona","Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;', Adrian Alphona"
"Ms. Marvel (2014)","#2","All Mankind Part Two of Five","Marvel"," May","2014","G. Willow Wilson","Adrian Alphona","Adrian Alphona"
"Ms. Marvel (2016)","#2","Super Famous Part 2 of 3","Marvel"," February","2016","G. Willow Wilson","Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;'","Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;'"
"Ms. Marvel (2014)","#3","Side Entrance Part Three of Five","Marvel"," June","2014","G. Willow Wilson","Adrian Alphona","Adrian Alphona"
"Ms. Marvel (2014)","#4","Past Curfew Part Four of Five","Marvel"," July","2014","G. Willow Wilson","Adrian Alphona","Adrian Alphona"
"Mudman (2011)","#1","Mudman","Image Comics"," November","2011","Paul Grist","Paul Grist","Paul Grist"
"Mudman (2011)","#2","The Perfect Getaway","Image Comics"," January","2012","Paul Grist","Paul Grist","Paul Grist"
"Mudman (2011)","#3","All The Things We Leave Behind","Image Comics"," April","2012","Paul Grist","Paul Grist","Paul Grist"
"Multiple Warheads: Down Fall (2013)","TPB","","Image Comics"," October","2013","Brandon Graham","Brandon Graham, Brandon Graham, Marian Churchland, Brandon Graham, Brandon Graham, Brandon Graham, Brandon Graham, Marian Churchland","Brandon Graham, Brandon Graham, Marian Churchland, Brandon Graham, Brandon Graham, Brandon Graham, Brandon Graham, Marian Churchland"
"Mystery Society (2010)","#1","","IDW Publishing"," May","2010","Steve Niles","Fiona Staples","Fiona Staples"
"Mystery Society (2010)","#2","","IDW Publishing"," August","2010","Steve Niles","Fiona Staples","Fiona Staples"
"Mystery Society (2010)","#3","","IDW Publishing"," August","2010","Steve Niles","Fiona Staples","Fiona Staples"
"Mystery Society (2010)","#4","","IDW Publishing"," September","2010","Steve Niles","Fiona Staples","Fiona Staples"
"Mystery Society (2010)","#5","","IDW Publishing"," October","2010","Steve Niles","Fiona Staples","Fiona Staples"
"Nameless (2015)","#1","Shit Rains Down","Image Comics"," February","2015","Grant Morrison","Chris Burnham","Chris Burnham"
"New Avengers: Ultron Forever (2015)","#1","Ultron Forever Part Two of Three","Marvel"," June","2015","Al Ewing","Alan Davis","Mark Farmer"
"New Super-Man (2016)","#1","Made in China Part One","DC Comics"," September","2016","Gene Luen Yang","Viktor Bogdanovic","Richard Friend"
"Nimona (2015)","TPB vol. 01","","HarperCollins"," May","2015","Noelle Stevenson","Noelle Stevenson","Noelle Stevenson"
"Nonplayer (2011)","#1","","Image Comics"," March","2015","Nate Simpson","Nate Simpson","Nate Simpson"
"Nonplayer (2011)","#2","","Image Comics"," June","2015","Nate Simpson","Nate Simpson","Nate Simpson"
"Nowhere Men (2012)","TPB vol. 01","Fates Worse Than Death","Image Comics"," November","2013","Eric Stephenson","Nate Bellegarde","Nate Bellegarde"
"Obi-Wan and Anakin (2016)","#1","","Marvel"," February","2016","Charles D. Soule","Marco Checchetto","Marco Checchetto"
"Obi-Wan and Anakin (2016)","#2","","Marvel"," April","2016","Charles D. Soule","Marco Checchetto","Marco Checchetto"
"ODY-C (2014)","#1","","Image Comics"," November","2014","Matt Fraction","Christian Ward","Christian Ward"
"Old Man Logan (2015)","#1","","Marvel"," July","2015","Brian Michael Bendis","Andrea Sorrentino","Andrea Sorrentino"
"Old Man Logan (2016)","#1","Berserker","Marvel"," March","2016","Jeff Lemire","Andrea Sorrentino","Andrea Sorrentino"
"Old Man Logan (2015)","#2","","Marvel"," August","2015","Brian Michael Bendis","Andrea Sorrentino","Andrea Sorrentino"
"Old Man Logan (2015)","#3","","Marvel"," September","2015","Brian Michael Bendis","Andrea Sorrentino","Andrea Sorrentino"
"Old Man Logan (2015)","#4","","Marvel"," October","2015","Brian Michael Bendis","Andrea Sorrentino","Andrea Sorrentino"
"Old Man Logan (2015)","#5","","Marvel"," December","2015","Brian Michael Bendis","Andrea Sorrentino","Andrea Sorrentino"
"Original Sin (2014)","#0","Who is the Watcher?","Marvel"," June","2014","Mark Waid","Paco Medina, Jim Cheung","Juan Vlasco, Guillermo Ortego, Mark Morales, David Meikis, Jim Cheung"
"Original Sin (2014)","#1","No One is Watching","Marvel"," July","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#2","Bomb Full of Secrets","Marvel"," July","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#3","Trust No One, Not Even Yourself","Marvel"," August","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#4","Secret Warriors","Marvel"," August","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#5","The Secret History of Colonel Nicholas J. Fury","Marvel"," September","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#6","Open Your Eye","Marvel"," September","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#7","Nick Fury vs. the World","Marvel"," October","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Original Sin (2014)","#8","The One Who Watches","Marvel"," November","2014","Jason Aaron","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'","Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'"
"Paper Girls (2015)","#1","","Image Comics"," October","2015","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#2","Nostalgia is Death","Image Comics"," November","2015","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#3","Death is Forever","Image Comics"," December","2015","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#4","Forever is Now","Image Comics"," January","2016","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#5","Now is Gone","Image Comics"," February","2016","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#6","","Image Comics"," June","2016","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#7","The Present is Not a Gift","Image Comics"," July","2016","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Paper Girls (2015)","#8","Only Time is Timeless","Image Comics"," August","2016","Brian K. Vaughan","Cliff Wu Chiang","Cliff Wu Chiang"
"Patsy Walker, A.K.A. Hellcat! (2016)","#1","","Marvel"," February","2016","Kate Leth","Brittney L. Williams","Brittney L. Williams"
"Phonogram (2006)","TPB vol. 01","Rue Britannia","Image Comics"," July","2007","Kieron Gillen","Jamie McKelvie","Jamie McKelvie"
"Phonogram (2015)","#1","The Immaterial Girl","Image Comics"," August","2015","Kieron Gillen","Jamie McKelvie, Sarah Gordon, Clayton Cowles","Jamie McKelvie, Sarah Gordon, Clayton Cowles"
"Phonogram (2015)","#2","The Immaterial Girl","Image Comics"," September","2015","Kieron Gillen","Jamie McKelvie, Jamaica Dyer","Jamie McKelvie, Jamaica Dyer"
"Phonogram (2015)","#3","The Immaterial Girl","Image Comics"," October","2015","Kieron Gillen","Jamie McKelvie, Christian Wildgoose","Jamie McKelvie, Christian Wildgoose"
"Phonogram (2015)","#4","The Immaterial Girl","Image Comics"," November","2015","Kieron Gillen","Jamie McKelvie, Julia Scheele, Luis Sopelana","Jamie McKelvie, Julia Scheele, Luis Sopelana"
"Phonogram (2015)","#5","The Immaterial Girl","Image Comics"," December","2015","Kieron Gillen","Jamie McKelvie, Rosy Higgins, Ted Brandt","Jamie McKelvie, Ted Brandt"
"Phonogram (2015)","#6","The Immaterial Girl","Image Comics"," January","2016","Kieron Gillen","Jamie McKelvie, Tom Humberstone","Jamie McKelvie, Tom Humberstone"
"Planet Hulk (2015)","#1","Part One: The Oath","Marvel"," July","2015","Sam Humphries, Greg Pak","Marc Laming, Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;'","Marc Laming, Takeshi Miyazawa - '&#23470;&#27810;&#27494;&#21490;'"
"Plutona (2015)","#1","","Image Comics"," September","2015","Jeff Lemire, Jeff Lemire, Emi Lenox, Jeff Lemire","Emi Lenox, Jeff Lemire, Emi Lenox","Emi Lenox, Jeff Lemire"
"Poe Dameron (2016)","#1","","Marvel"," June","2016","Charles D. Soule, Chris Eliopoulos - '(principally a letterer)'","Phil Noto, Chris Eliopoulos - '(principally a letterer)'","Phil Noto, Chris Eliopoulos - '(principally a letterer)'"
"Pretty Deadly (2013)","TPB vol. 01","The Shrike","Image Comics"," April","2014","Kelly Sue DeConnick","Emma Ríos","Emma Ríos"
"Pretty Deadly (2013)","#1","","Image Comics"," October","2013","Chad Collier, Kelly Sue DeConnick","Summer Suzuki, Emma Ríos","Summer Suzuki, Emma Ríos"
"Prez (2015)","#1","Corndog in Chief","DC Comics"," August","2015","Mark Russell","Ben Caldwell","Mark Morales"
"Prez (2015)","#2","The Democratic Circus","DC Comics"," September","2015","Mark Russell","Ben Caldwell","Mark Morales, Sean P. Parsons"
"Prez (2015)","#3","Adventures in Cabinetry","DC Comics"," October","2015","Mark Russell","Ben Caldwell","Mark Morales"
"Prez (2015)","#4","Beast of War","DC Comics"," November","2015","Mark Russell","Dominike Stanton - 'Domo'","Mark Morales, Sean P. Parsons"
"Prophet (2012)","TPB vol. 01","Remission","Image Comics"," ","2012","Brandon Graham, Simon  Roy, Simon  Roy, Brandon Graham, Simon  Roy, Brandon Graham, Brandon Graham, Farel Dalrymple, Brandon Graham, Brandon Graham, Simon  Roy, Giannis Milonogiannis, Emma Ríos","Simon  Roy, Simon  Roy, Simon  Roy, Farel Dalrymple, Brandon Graham, Giannis Milonogiannis, Emma Ríos","Simon  Roy, Simon  Roy, Simon  Roy, Farel Dalrymple, Brandon Graham, Giannis Milonogiannis, Emma Ríos"
"Punk Rock Jesus (2012)","TPB","Punk Rock Jesus","DC Comics"," April","2013","Sean Gordon Murphy - 'Sean Gordon', Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'","Sean Gordon Murphy - 'Sean Gordon'"
"Rat Queens (2013)","TPB vol. 01","Sass & Sorcery","Image Comics"," April","2014","Kurtis J Wiebe","John Carlton Upchurch - 'Roc'","John Carlton Upchurch - 'Roc'"
"Revenge (2014)","#1","","Image Comics"," February","2014","Jonathan Ross","Ian Churchill","Ian Churchill"
"Revival (2012)","#1","","Image Comics"," July","2012","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#2","","Image Comics"," August","2012","Tim Seeley","Mike Norton","Mike Norton"
"Revival (2012)","#3","","Image Comics"," September","2012","Tim Seeley","Mike Norton","Mike Norton"
